dim,k,p,scale,L_reg,eigen_error,orth_error,eigen_cost,eigenvalue_mse,eigenfunc_mse
2.0,6.0,50.0,0.1,1e-06,28085.54497949981,0.0001193964214009904,13068971.30924213,12965.23138310686,10.179082783782551
2.0,6.0,50.0,0.12742749857031338,1e-06,10334.54740458998,0.00013413508691671662,7845593.0943819415,4528.936053003634,9.894689686752656
2.0,6.0,50.0,0.16237767391887217,1e-06,4476.150440282998,9.789721746211204e-05,4428782.505626723,1351.782302126396,8.928571624725357
2.0,6.0,50.0,0.20691380811147897,1e-06,1425.126403976034,6.021275607893101e-05,2343422.1440146603,313.17938332178244,7.994252270748326
2.0,6.0,50.0,0.26366508987303583,1e-06,420.13727572702743,4.46161396593308e-05,1353595.631255467,78.30575296003141,5.088286329377059
2.0,6.0,50.0,0.33598182862837817,1e-06,122.80975816380098,2.5846611127056132e-05,888593.28243136,23.027679281593603,3.703423634835779
2.0,6.0,50.0,0.42813323987193935,1e-06,40.645477610245436,3.0468746311289302e-05,686209.3521947674,8.513390293436782,2.897340510273253
2.0,6.0,50.0,0.5455594781168519,1e-06,19.411278472116354,3.145745390983341e-05,571995.8642855395,3.296561759272158,2.0075146747133124
2.0,6.0,50.0,0.6951927961775606,1e-06,9.356109947033591,8.208982911719224e-05,492407.2731122802,1.0341958382365932,1.2379358461338308
2.0,6.0,50.0,0.8858667904100825,1e-06,4.090070162645771,0.00010674397047941251,446183.4226674143,0.256303624756799,0.78693071925974
2.0,6.0,50.0,1.1288378916846888,1e-06,,,,,
2.0,6.0,50.0,1.438449888287663,1e-06,0.8087779449069719,0.00011404767527632767,413667.36852959206,0.02770975518724645,0.46659099958358363
2.0,6.0,50.0,1.8329807108324356,1e-06,0.3727884322202949,0.00011182539423087063,407397.7543794764,0.009339204858414165,0.4079523951545498
2.0,6.0,50.0,2.3357214690901213,1e-06,0.2475726577822821,0.00012906252142320926,407184.910902624,0.011993400774240484,0.41741591994113636
2.0,6.0,50.0,2.9763514416313175,1e-06,0.21232852373732006,0.00011262119089838967,406553.33692345297,0.0078311696751395,0.41322033731215513
2.0,6.0,50.0,3.79269019073225,1e-06,0.12203683888206682,0.00011971043551389387,404557.8861387256,0.003952806182228527,0.38518131574426095
2.0,6.0,50.0,4.832930238571752,1e-06,0.06766895760724996,0.00012682549617783372,403816.88603708,0.003878311487589171,0.3671501123249219
2.0,6.0,50.0,6.158482110660261,1e-06,0.05098247168408956,0.00015842189320483625,403424.3470375264,0.020131022540616272,0.35719333598696434
2.0,6.0,50.0,7.847599703514611,1e-06,0.6774247417410231,0.00016866225846211524,403079.1122522813,0.6629104124808797,0.350951253474738
2.0,6.0,50.0,10.0,1e-06,28.460870920403146,0.00017211642820347557,402933.81794462027,28.399534661890883,0.3478037612591138
2.0,6.0,60.0,0.1,1e-06,29026.786033955847,0.00013474220218928992,12824930.897369124,12403.982562291361,10.163757206312173
2.0,6.0,60.0,0.12742749857031338,1e-06,10375.473160912597,0.00014752552498122263,7491673.85763552,4032.909678447538,9.97161071715522
2.0,6.0,60.0,0.16237767391887217,1e-06,4212.075754627558,8.801979496081981e-05,4084763.542268871,1124.8269462089954,9.103468611519519
2.0,6.0,60.0,0.20691380811147897,1e-06,1410.9174989440235,5.04275044499114e-05,2088183.619437436,236.19499202252135,6.276051545813722
2.0,6.0,60.0,0.26366508987303583,1e-06,358.8919193052586,2.6551783380182115e-05,1131096.2305116937,46.28275135149724,4.5607807295287275
2.0,6.0,60.0,0.33598182862837817,1e-06,82.51273275177367,2.789750139564534e-05,790598.7142641301,14.996167249845163,3.565187406071779
2.0,6.0,60.0,0.42813323987193935,1e-06,34.954185416247114,3.053306200652822e-05,645108.3959730197,6.305717921598516,2.5877620292182155
2.0,6.0,60.0,0.5455594781168519,1e-06,17.686385941710125,3.3602194164428684e-05,542771.1061916981,2.277888560775558,1.6430200278708322
2.0,6.0,60.0,0.6951927961775606,1e-06,7.802907359542765,5.2571464631418154e-05,472154.16615016555,0.6088658348906351,1.008878462138217
2.0,6.0,60.0,0.8858667904100825,1e-06,3.215046792607237,6.759700284154286e-05,437082.80293047323,0.16877878859219447,0.6910507434819069
2.0,6.0,60.0,1.1288378916846888,1e-06,1.317503078528091,8.07379188665704e-05,418121.8264106336,0.04429259825929102,0.5046450928519784
2.0,6.0,60.0,1.438449888287663,1e-06,0.6423781604245367,9.688498111452844e-05,411335.52308259904,0.02007310605230599,0.4407969561664572
2.0,6.0,60.0,1.8329807108324356,1e-06,0.33317264401393426,0.00011525686318415716,406741.56915965985,0.007185916914157175,0.39659575595635677
2.0,6.0,60.0,2.3357214690901213,1e-06,0.15759856464594835,0.00012028570828810679,405190.65668699384,0.00654500735537957,0.3847115712990288
2.0,6.0,60.0,2.9763514416313175,1e-06,0.18469082650513427,0.00011641895236045408,405970.8194279987,0.007143030187046482,0.40463639571485144
2.0,6.0,60.0,3.79269019073225,1e-06,0.1113234203790267,0.00012201893232071211,404344.87431011366,0.003804224808580979,0.3824830788352498
2.0,6.0,60.0,4.832930238571752,1e-06,0.06385811892659524,0.00012511884726962533,403736.5167064816,0.003514805518649039,0.36604793037330224
2.0,6.0,60.0,6.158482110660261,1e-06,0.04066589788893154,0.00012070463345535921,403425.76188543637,0.009361556166087578,0.3572740633489915
2.0,6.0,60.0,7.847599703514611,1e-06,0.2228863223325951,0.00013822636758711618,403083.97511772695,0.20731803232715063,0.35114546374290945
2.0,6.0,60.0,10.0,1e-06,8.402802713696357,0.00014902445171147228,402935.97614715854,8.330033266920665,0.34793305269495267
2.0,6.0,70.0,0.1,1e-06,30553.147201650103,0.00011714775830120915,11823683.43699268,10436.50305452539,10.231761537241221
2.0,6.0,70.0,0.12742749857031338,1e-06,9725.932323104646,0.0001336315919988364,6226202.316690432,2767.9499633083356,9.180127093351324
2.0,6.0,70.0,0.16237767391887217,1e-06,3200.6000682385456,9.694493782434695e-05,3455371.3564723786,771.1236290200972,7.826489288088668
2.0,6.0,70.0,0.20691380811147897,1e-06,1208.6017088243625,5.3114558955309555e-05,1879195.8136297907,181.95228363619754,5.731862769193115
2.0,6.0,70.0,0.26366508987303583,1e-06,315.1693114055109,2.7950826871865064e-05,1039595.1093939386,35.75107598662055,4.149311888328926
2.0,6.0,70.0,0.33598182862837817,1e-06,71.37479776265388,2.6100013160397398e-05,745458.88369776,11.837679447112516,3.2642570188310676
2.0,6.0,70.0,0.42813323987193935,1e-06,31.8788330811443,2.8981423684698144e-05,615825.8942306901,4.956960498321305,2.319355609219693
2.0,6.0,70.0,0.5455594781168519,1e-06,15.537997240749508,3.8276349899924326e-05,525703.2059276713,1.7923125271633569,1.4718720117627102
2.0,6.0,70.0,0.6951927961775606,1e-06,7.048555949801054,5.149413119456669e-05,463683.63404462795,0.4710503434738479,0.9144885957716641
2.0,6.0,70.0,0.8858667904100825,1e-06,2.8045041149353622,7.789160584327455e-05,432682.9166137724,0.1379063975403536,0.6430947405353317
2.0,6.0,70.0,1.1288378916846888,1e-06,1.2572513873704287,8.594592113090093e-05,417104.38797614264,0.03908376399708799,0.49158439447109414
2.0,6.0,70.0,1.438449888287663,1e-06,0.6095009105008491,9.893016919564101e-05,410891.7574807495,0.018952948647789958,0.4354019056896353
2.0,6.0,70.0,1.8329807108324356,1e-06,0.3267513601560512,0.00011696094275789492,406627.66209372034,0.006897966699586845,0.39470244155457335
2.0,6.0,70.0,2.3357214690901213,1e-06,0.15256744554471496,0.00012122166503737543,405078.4490825612,0.006151208298006366,0.3826542395321352
2.0,6.0,70.0,2.9763514416313175,1e-06,0.18075030070275083,0.0001163505033949807,405887.73820018687,0.006994112859046249,0.40352626525458757
2.0,6.0,70.0,3.79269019073225,1e-06,0.11113548875976156,0.0001229931836283927,404307.55261683476,0.0037518626422555715,0.3825762621299563
2.0,6.0,70.0,4.832930238571752,1e-06,0.0629630447279777,0.00012622478532666142,403657.5684617304,0.0033485874225256357,0.3655193845182456
2.0,6.0,70.0,6.158482110660261,1e-06,0.03914423422205158,0.00012333363016732383,403379.2857978438,0.00822379132644493,0.3567872643856328
2.0,6.0,70.0,7.847599703514611,1e-06,0.18906575794928238,0.00014476539332318632,403060.90281661897,0.17391778834224772,0.3509336549695311
2.0,6.0,70.0,10.0,1e-06,7.055933177754289,0.00015533482839619276,402923.52061232645,6.9956027802197465,0.3478401489331514
2.0,6.0,80.0,0.1,1e-06,29921.08758229259,0.00011715139358841569,11542934.421554938,9938.371257059764,10.497571206418561
2.0,6.0,80.0,0.12742749857031338,1e-06,9990.260256934847,0.00010107566166344595,6004511.522299577,2546.3378530180016,9.294156766600892
2.0,6.0,80.0,0.16237767391887217,1e-06,3286.828448524522,7.535381519565461e-05,3128377.274055932,609.2872008912689,7.5806419140165815
2.0,6.0,80.0,0.20691380811147897,1e-06,1031.7132072858387,3.583176386664499e-05,1604227.6199589581,121.99155553912408,5.383237688196798
2.0,6.0,80.0,0.26366508987303583,1e-06,234.32820644592695,2.6152238478393154e-05,943273.2427141259,26.78609682133498,3.900440769647962
2.0,6.0,80.0,0.33598182862837817,1e-06,64.3515579728884,2.4039001170611667e-05,712806.3823516797,9.938687570409684,2.950814594336024
2.0,6.0,80.0,0.42813323987193935,1e-06,30.380447313743026,2.1525961582554787e-05,591389.5603154759,3.89101198691316,2.045595492775712
2.0,6.0,80.0,0.5455594781168519,1e-06,13.30535283182149,3.225990090506486e-05,509978.8854536301,1.3362131287366088,1.3600361940882855
2.0,6.0,80.0,0.6951927961775606,1e-06,6.363335982682782,4.847961471420148e-05,459643.5074455759,0.40092141629500166,0.8909903686811194
2.0,6.0,80.0,0.8858667904100825,1e-06,2.633551598953674,6.703236967646566e-05,431060.0069583399,0.1263081848678805,0.6276980829937875
2.0,6.0,80.0,1.1288378916846888,1e-06,1.20006806258305,9.08643395093382e-05,416089.8718815403,0.03394401100336667,0.48009278325755
