dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error
1.0,1,200.0,0.31622776601683794,1e-06,50000.0,1.6616570480675974e-09,5.271858489480753e-15,9.110602340197415e-11,1.6602408044451998e-09,1.0082242401511518e-12,3.457988956396794e-14,2.38705943613879e-11,0.9999999999770133,1.0000050747804963,1.0000000005742335,1.0000000000000657,1.0000000000292544,1.0000000000018796,1.0000003458294355,1.0000019714908779
1.0,1,200.0,0.34304692863149183,1e-06,50000.0,1.9353563506644216e-09,6.92244107378821e-15,1.2358738481185908e-10,1.9338271788473743e-09,1.0283455595662192e-12,4.95165638883508e-14,2.8196872877253707e-11,0.9999999999952431,1.000005320236691,1.0000000008274235,1.0000000000000788,1.000000000034981,1.000000000002249,1.0000003457938866,1.0000019684157717
1.0,1,200.0,0.3721406147404329,1e-06,50000.0,2.0366303679854794e-09,8.62861705520937e-15,1.5379429448922706e-10,2.0353410607811235e-09,1.0261609953477491e-12,1.5001508558226053e-14,3.31422716559952e-11,1.0000000000068152,1.0000055637842926,1.0000000009552485,1.0000000000000433,1.0000000000192377,1.000000000001238,1.0000003457711175,1.00000196536631
1.0,1,200.0,0.40370172585965547,1e-06,50000.0,2.144758417365882e-09,9.969498013093874e-15,1.7771619235054767e-10,2.143779399537539e-09,1.0194487662572985e-12,4.0901860849566142e-16,3.8781242350341033e-11,1.0000000000126943,1.000005804095176,1.0000000010412433,0.9999999999999929,0.9999999999968266,0.9999999999997954,1.000000345759381,1.0000019623594976
1.0,1,200.0,0.4379395234130494,1e-06,50000.0,2.4608707081610498e-09,1.1405322310372324e-14,2.3222099737108284e-10,2.4601481188377504e-09,9.89175975157552e-13,2.0886225771028267e-14,4.590242410859255e-11,1.0000000000400249,1.0000060668313218,1.0000000013083346,0.9999999999999489,0.9999999999773419,0.9999999999985392,1.0000003457058166,1.000001959074898
1.0,1,200.0,0.4750810162102797,1e-06,50000.0,3.0063238189561817e-09,1.2937810834958112e-14,3.0846452074921575e-10,3.0057593269493164e-09,1.0049602781043621e-12,6.307642166221568e-14,5.504319438282932e-11,1.000000000081865,1.00000635409751,1.0000000017173787,0.9999999999999112,0.9999999999606637,0.9999999999974614,1.0000003456239241,1.0000019554869155
1.0,1,200.0,0.5153724655961633,1e-06,50000.0,3.230995871711191e-09,1.6974991483158873e-14,3.8018263445638835e-10,3.2303859880133977e-09,9.711750255160761e-13,4.183316246056584e-14,6.708288680186319e-11,1.000000000121971,1.000006681796261,1.0000000021090827,0.9999999999999274,0.9999999999679978,0.9999999999979327,1.0000003455456734,1.0000019513987117
1.0,1,200.0,0.5590810182512224,1e-06,50000.0,4.516740547498455e-09,2.2682598865617813e-14,4.6055594768036e-10,4.516078369629632e-09,9.809675696217963e-13,3.12210827977467e-14,8.501966311527699e-11,1.0000000001755296,1.000007083364712,1.0000000026624938,0.9999999999999374,0.9999999999723881,0.9999999999982139,1.0000003454411046,1.0000019463946646
1.0,1,200.0,0.6064964774694601,1e-06,50000.0,4.6501134764417945e-09,2.9686611929635206e-14,5.476211603066417e-10,4.649509200785444e-09,1.0354542877594302e-12,5.770612024733136e-14,1.0562498512018783e-10,1.0000000002317013,1.000007480995784,1.0000000032598895,0.999999999999915,0.9999999999625108,0.9999999999975723,1.0000003453312865,1.0000019414455956
1.0,1,200.0,0.657933224657568,1e-06,50000.0,7.033465259590083e-09,3.997420812929296e-14,7.529754646362754e-10,7.033012864675764e-09,9.831173208449244e-13,1.0170969401964965e-13,1.3960107977851628e-10,1.000000000263041,1.0000079985165187,1.0000000037008203,0.9999999999998872,0.9999999999503144,0.9999999999967771,1.0000003452699147,1.0000019350138296
1.0,1,200.0,0.7137323037957845,1e-06,50000.0,6.710440489040167e-09,5.549415908482101e-14,7.7851409760871e-10,6.709754611627456e-09,1.0197644405835522e-12,3.2999123094699096e-14,1.7417568462281794e-10,1.000000000230279,1.0000084585569282,1.000000003601769,0.9999999999999356,0.9999999999717378,0.9999999999981641,1.0000003453340613,1.0000019293063138
1.0,1,200.0,0.7742636826811271,1e-06,50000.0,1.036463937805922e-08,7.770303509520385e-14,1.1404038336842108e-09,1.0363569074944088e-08,1.0136449406620463e-12,7.703588230053827e-16,2.2729502483591818e-10,1.0000000001724278,1.0000090356808256,1.0000000032576655,1.0000000000000098,1.0000000000043112,1.0000000000002802,1.0000003454472939,1.0000019221583551
1.0,1,200.0,0.8399287059458465,1e-06,50000.0,1.1738404687088861e-08,1.0076723556456364e-13,1.5479738113782477e-09,1.1737500564670347e-08,9.960868373609648e-13,2.2266911844117094e-15,3.0041233073211216e-10,1.0000000000968894,1.0000096783533647,1.0000000027203721,0.9999999999999831,0.9999999999926865,0.9999999999995228,1.0000003455945972,1.000001914212865
1.0,1,200.0,0.9111627561154891,1e-06,50000.0,1.206116769807603e-08,1.0368762385278134e-13,1.7688536482544194e-09,1.2060655385883002e-08,9.99808452007948e-13,8.073794632850147e-14,3.449888500624613e-10,0.9999999999928347,1.0000101480382333,1.0000000017893287,0.9999999999998992,0.9999999999560365,0.999999999997128,1.0000003457973579,1.000001908415697
1.0,1,200.0,0.9884381403503333,1e-06,50000.0,2.084283703922977e-08,1.36507684681569e-13,2.3461932929497225e-09,2.0842556907435384e-08,1.00655098574707e-12,2.246715127804135e-13,4.936618331513821e-10,0.9999999999032035,1.0000111194853762,1.0000000010060557,0.9999999999998319,0.9999999999269038,0.999999999995209,1.0000003459719724,1.0000018964548665
1.0,1,200.0,1.072267222010323,1e-06,50000.0,2.146130011856478e-08,1.7068706838995722e-13,2.588474358536053e-09,2.1460909397827123e-08,9.856095971091417e-13,1.3520476872504167e-13,6.160671040996015e-10,0.9999999998546697,1.0000118188304263,1.000000000635124,0.9999999999998694,0.9999999999434193,0.9999999999962831,1.00000034606683,1.0000018878686574
1.0,1,200.0,1.1632058178068947,1e-06,50000.0,1.8416263544634223e-08,1.5922064303466719e-13,3.028952569272484e-09,1.8415263305794055e-08,1.0139174133652169e-12,4.6444898702813744e-17,6.239833514677738e-10,0.9999999998933374,1.0000120721543375,1.0000000012128047,0.9999999999999976,0.9999999999989521,0.999999999999931,1.0000003459919604,1.0000018847646381
1.0,1,200.0,1.2618568830660204,1e-06,50000.0,3.27151095929092e-08,1.9032542449733717e-13,4.6115218971710655e-09,3.271375168453216e-08,9.969037840404204e-13,2.783652666260983e-14,8.989102277357881e-10,0.9999999998963446,1.000013295574571,1.0000000017822144,1.0000000000000593,1.000000000025561,1.0000000000016858,1.0000003459863087,1.0000018698037703
1.0,1,200.0,1.368874509537081,1e-06,50000.0,5.3983972799316246e-08,2.8757441295308437e-13,6.593210845356783e-09,5.398256370183822e-08,9.866653300015938e-13,3.753679446091093e-14,1.4365902225089826e-09,0.9999999998831274,1.0000150583786138,1.0000000025297755,1.0000000000000686,1.0000000000295124,1.0000000000019578,1.0000003460119988,1.0000018483514037
1.0,1,200.0,1.484968262254465,1e-06,50000.0,4.908153956087483e-08,3.8398558674230704e-13,6.036990610372831e-09,4.908010485197173e-08,9.7623891374422e-13,4.399325290996921e-14,1.5511565469991734e-09,0.9999999999396516,1.0000156385271348,1.0000000034013696,1.0000000000000744,1.0000000000318896,1.000000000002119,1.0000003459015165,1.0000018413178022
1.0,1,200.0,1.6109078842068332,1e-06,50000.0,2.9708377602720896e-08,4.671661277779729e-13,4.783693364962029e-09,2.9706705240338873e-08,9.81765453251909e-13,9.142046261960601e-14,1.233893303081261e-09,1.0000000000988711,1.0000151960338126,1.0000000044702788,1.000000000000107,1.0000000000460407,1.0000000000030547,1.0000003455906905,1.0000018466797846
